registered,occurred,broker,modbus,mac_id,mc_no,process
2026-06-16 15:16:01.798,2026-06-16 15:03:18.518,1.0,1.0,,mc6,demo1
2026-06-16 15:16:01.770,2026-06-16 15:03:18.518,1.0,1.0,,mc5,demo1
2026-06-16 15:13:04.122,2026-06-16 15:03:18.518,1.0,1.0,,mc5,demo1
2026-06-16 15:13:04.056,2026-06-16 15:03:18.518,0.0,0.0,0,mc3,demo1
2026-06-16 15:13:04.012,2026-06-16 15:03:18.518,1.0,1.0,,mc6,demo1
2026-06-16 15:13:03.994,2026-06-16 15:03:18.518,1.0,1.0,,mc2,demo1
2026-06-16 15:13:03.953,2026-06-16 15:03:18.518,1.0,1.0,,mc1,demo1
2026-06-16 15:08:04.382,2026-06-16 15:03:18.518,1.0,1.0,,mc5,demo1
2026-06-16 15:08:04.302,2026-06-16 15:03:18.518,0.0,0.0,0,mc4,demo1
2026-06-16 15:08:04.272,2026-06-16 15:03:18.518,0.0,0.0,0,mc3,demo1
2026-06-16 15:08:04.233,2026-06-16 15:03:18.518,1.0,1.0,,mc2,demo1
2026-06-16 15:08:04.199,2026-06-16 15:03:18.518,1.0,1.0,,mc1,demo1
2026-06-16 15:08:04.152,2026-06-16 15:03:18.518,1.0,1.0,,mc6,demo1
2026-06-16 15:13:04.268,2026-06-16 14:58:18.680,1.0,1.0,,mc6,demo1
2026-06-16 15:13:04.308,2026-06-16 14:58:18.680,1.0,1.0,,mc5,demo1
2026-06-16 15:16:02.164,2026-06-16 14:58:18.680,0.0,0.0,0,mc3,demo1
2026-06-16 15:16:02.211,2026-06-16 14:58:18.680,0.0,0.0,0,mc4,demo1
2026-06-16 15:16:02.267,2026-06-16 14:58:18.680,1.0,1.0,,mc2,demo1
2026-06-16 15:16:02.302,2026-06-16 14:58:18.680,1.0,1.0,,mc1,demo1
2026-06-16 15:16:02.323,2026-06-16 14:58:18.680,1.0,1.0,,mc5,demo1
2026-06-16 15:08:04.769,2026-06-16 14:58:18.680,1.0,1.0,,mc5,demo1
2026-06-16 15:08:04.687,2026-06-16 14:58:18.680,0.0,0.0,0,mc4,demo1
2026-06-16 15:08:04.649,2026-06-16 14:58:18.680,0.0,0.0,0,mc3,demo1
2026-06-16 15:08:04.595,2026-06-16 14:58:18.680,1.0,1.0,,mc2,demo1
2026-06-16 15:08:04.565,2026-06-16 14:58:18.680,1.0,1.0,,mc1,demo1
2026-06-16 15:08:04.499,2026-06-16 14:58:18.680,1.0,1.0,,mc6,demo1
2026-06-16 15:16:02.087,2026-06-16 14:58:18.680,1.0,1.0,,mc6,demo1
2026-06-16 15:13:04.146,2026-06-16 14:58:18.680,1.0,1.0,,mc1,demo1
2026-06-16 15:13:04.194,2026-06-16 14:58:18.680,1.0,1.0,,mc2,demo1
2026-06-16 15:13:04.219,2026-06-16 14:58:18.680,0.0,0.0,0,mc3,demo1
2026-06-16 15:13:04.244,2026-06-16 14:58:18.680,0.0,0.0,0,mc4,demo1
2026-06-16 14:53:04.855,2026-06-16 14:48:18.417,1.0,1.0,,mc1,demo1
2026-06-16 14:53:04.817,2026-06-16 14:48:18.417,1.0,1.0,,mc6,demo1
2026-06-16 14:53:05.025,2026-06-16 14:48:18.417,1.0,1.0,,mc5,demo1
2026-06-16 14:53:04.982,2026-06-16 14:48:18.417,0.0,0.0,0,mc4,demo1
2026-06-16 14:53:04.940,2026-06-16 14:48:18.417,0.0,0.0,0,mc3,demo1
2026-06-16 14:53:04.913,2026-06-16 14:48:18.417,1.0,1.0,,mc2,demo1
2026-06-16 14:48:05.481,2026-06-16 14:43:18.426,1.0,1.0,,mc5,demo1
2026-06-16 14:48:05.014,2026-06-16 14:43:18.426,1.0,1.0,,mc6,demo1
2026-06-16 14:48:05.069,2026-06-16 14:43:18.426,1.0,1.0,,mc1,demo1
2026-06-16 14:48:05.091,2026-06-16 14:43:18.426,1.0,1.0,,mc2,demo1
2026-06-16 14:48:05.350,2026-06-16 14:43:18.426,0.0,0.0,0,mc3,demo1
2026-06-16 14:48:05.417,2026-06-16 14:43:18.426,0.0,0.0,0,mc4,demo1
2026-06-16 14:43:04.202,2026-06-16 14:38:18.961,1.0,1.0,,mc6,demo1
2026-06-16 14:43:04.252,2026-06-16 14:38:18.961,1.0,1.0,,mc1,demo1
2026-06-16 14:43:04.275,2026-06-16 14:38:18.961,1.0,1.0,,mc2,demo1
2026-06-16 14:43:04.301,2026-06-16 14:38:18.961,0.0,0.0,0,mc3,demo1
2026-06-16 14:43:04.317,2026-06-16 14:38:18.961,0.0,0.0,0,mc4,demo1
2026-06-16 14:43:04.342,2026-06-16 14:38:18.961,1.0,1.0,,mc5,demo1
2026-06-16 14:38:04.065,2026-06-16 14:33:18.317,1.0,1.0,,mc6,demo1
2026-06-16 14:38:04.108,2026-06-16 14:33:18.317,1.0,1.0,,mc1,demo1
2026-06-16 14:38:04.136,2026-06-16 14:33:18.317,1.0,1.0,,mc2,demo1
2026-06-16 14:38:04.178,2026-06-16 14:33:18.317,0.0,0.0,0,mc3,demo1
2026-06-16 14:38:04.214,2026-06-16 14:33:18.317,0.0,0.0,0,mc4,demo1
2026-06-16 14:38:04.270,2026-06-16 14:33:18.317,1.0,1.0,,mc5,demo1
2026-06-16 14:33:04.045,2026-06-16 14:28:18.708,1.0,1.0,,mc1,demo1
2026-06-16 14:33:04.339,2026-06-16 14:28:18.708,1.0,1.0,,mc5,demo1
2026-06-16 14:33:04.154,2026-06-16 14:28:18.708,0.0,0.0,0,mc4,demo1
2026-06-16 14:33:04.097,2026-06-16 14:28:18.708,0.0,0.0,0,mc3,demo1
2026-06-16 14:33:04.063,2026-06-16 14:28:18.708,1.0,1.0,,mc2,demo1
2026-06-16 14:33:04.007,2026-06-16 14:28:18.708,1.0,1.0,,mc6,demo1
2026-06-16 14:26:58.095,2026-06-16 14:23:19.626,1.0,1.0,,mc1,demo1
2026-06-16 14:26:58.263,2026-06-16 14:23:19.626,1.0,1.0,,mc5,demo1
2026-06-16 14:26:58.234,2026-06-16 14:23:19.626,0.0,0.0,0,mc4,demo1
2026-06-16 14:26:58.202,2026-06-16 14:23:19.626,0.0,0.0,0,mc3,demo1
